period,duty_type,assignments,twenty_four_hour,weekend_twenty_four_hour
2025-01,CAESAR_A_12HR,19,0,0
2025-01,CAESAR_B_24HR,29,29,8
2025-01,CART,29,0,0
2025-01,CB_1ST_24HR,29,29,8
2025-01,CB_3RD_24HR,29,29,8
2025-01,CB_4TH_24HR,29,29,8
2025-01,FIFTH_CALL,29,0,0
2025-01,MAIN_1ST_24HR,29,29,8
2025-01,MAIN_2ND_24HR,29,29,8
2025-01,MAIN_3RD_24HR,29,29,8
2025-01,MAIN_4TH_24HR,29,29,8
2025-01,PAC,175,0,0
2025-01,RC_12HR,8,0,0
2025-01,RC_1ST_A_24HR,29,29,8
2025-01,RC_1ST_B_24HR,29,29,8
2025-01,RC_2ND_24HR,29,29,8
2025-01,RC_3RD_24HR,56,56,20
2025-01,RC_4TH_24HR,29,29,8
2025-01,SCHELL_24HR,29,29,8
2025-01,SHIFT,63,0,0
2025-02,CAESAR_A_12HR,28,0,0
2025-02,CAESAR_B_24HR,28,28,8
2025-02,CART,28,0,0
2025-02,CB_1ST_24HR,28,28,8
2025-02,CB_3RD_24HR,28,28,8
2025-02,CB_4TH_24HR,28,28,8
2025-02,CB_CO_12HR,28,0,0
2025-02,MAIN_1ST_24HR,28,28,8
2025-02,MAIN_1ST_CO_24HR,28,28,8
2025-02,MAIN_2ND_24HR,29,29,9
2025-02,MAIN_3RD_24HR,28,28,8
2025-02,MAIN_4TH_24HR,28,28,8
2025-02,PAC,165,0,0
2025-02,RC_12HR,8,0,0
2025-02,RC_1ST_A_24HR,28,28,8
2025-02,RC_1ST_B_24HR,28,28,8
2025-02,RC_2ND_24HR,28,28,8
2025-02,RC_3RD_24HR,62,62,22
2025-02,RC_4TH_24HR,29,29,9
2025-02,RC_CO_12HR,28,0,0
2025-02,SCHELL_24HR,28,28,8
2025-02,SHIFT,45,0,0
2025-03,CAESAR_A_12HR,31,0,0
2025-03,CAESAR_B_24HR,31,31,10
2025-03,CART,31,0,0
2025-03,CB_1ST_24HR,31,31,10
2025-03,CB_3RD_24HR,31,31,10
2025-03,CB_4TH_24HR,31,31,10
2025-03,CB_CO_12HR,38,0,0
2025-03,FIFTH_CALL,31,0,0
2025-03,MAIN_1ST_24HR,31,31,10
2025-03,MAIN_1ST_CO_24HR,31,31,10
2025-03,MAIN_2ND_24HR,31,31,10
2025-03,MAIN_3RD_24HR,30,30,9
2025-03,MAIN_4TH_24HR,31,31,10
2025-03,PAC,174,0,0
2025-03,PAEDS_CALL,3,0,0
2025-03,RC_12HR,10,0,0
2025-03,RC_1ST_A_24HR,31,31,10
2025-03,RC_1ST_B_24HR,31,31,10
2025-03,RC_2ND_24HR,31,31,10
2025-03,RC_3RD_24HR,71,71,29
2025-03,RC_4TH_24HR,31,31,10
2025-03,RC_CO_12HR,41,0,0
2025-03,SCHELL_24HR,31,31,10
2025-03,SHIFT,47,0,0
2025-04,CAESAR_A_12HR,30,0,0
2025-04,CAESAR_B_24HR,30,30,8
2025-04,CART,30,0,0
2025-04,CB_1ST_24HR,30,30,8
2025-04,CB_3RD_24HR,30,30,8
2025-04,CB_4TH_24HR,30,30,8
2025-04,CB_CO_12HR,7,0,0
2025-04,CB_PAEDS,2,0,0
2025-04,CHAD,30,0,0
2025-04,FIFTH_CALL,30,0,0
2025-04,MAIN_1ST_24HR,30,30,8
2025-04,MAIN_2ND_24HR,30,30,8
2025-04,MAIN_3RD_24HR,30,30,8
2025-04,MAIN_4TH_24HR,30,30,8
2025-04,PAC,173,0,0
2025-04,RC_12HR,9,0,0
2025-04,RC_1ST_A_24HR,30,30,8
2025-04,RC_1ST_B_24HR,30,30,8
2025-04,RC_2ND_24HR,30,30,8
2025-04,RC_3RD_24HR,68,68,24
2025-04,RC_4TH_24HR,30,30,8
2025-04,RC_CO_12HR,7,0,0
2025-04,SCHELL_24HR,30,30,8
2025-04,SHIFT,63,0,0
2025-05,CAESAR_A_12HR,31,0,0
2025-05,CAESAR_B_24HR,31,31,9
2025-05,CART,30,0,0
2025-05,CB_1ST_24HR,31,31,9
2025-05,CB_3RD_24HR,31,31,9
2025-05,CB_4TH_24HR,31,31,9
2025-05,CB_CO_12HR,6,0,0
2025-05,CHAD,32,0,0
2025-05,FIFTH_CALL,31,0,0
2025-05,MAIN_1ST_24HR,31,31,9
2025-05,MAIN_2ND_24HR,31,31,9
2025-05,MAIN_3RD_24HR,31,31,9
2025-05,MAIN_4TH_24HR,31,31,9
2025-05,PAC,198,0,0
2025-05,PAEDS_CALL,3,0,0
2025-05,RC_12HR,9,0,0
2025-05,RC_1ST_A_24HR,31,31,9
2025-05,RC_1ST_B_24HR,31,31,9
2025-05,RC_2ND_24HR,31,31,9
2025-05,RC_3RD_24HR,71,71,27
2025-05,RC_4TH_24HR,31,31,9
2025-05,SCHELL_24HR,31,31,9
2025-05,SHIFT,66,0,0
2025-06,CAESAR_A_12HR,30,0,0
2025-06,CAESAR_B_24HR,30,30,9
2025-06,CART,30,0,0
2025-06,CB_1ST_24HR,30,30,9
2025-06,CB_3RD_24HR,30,30,9
2025-06,CB_4TH_24HR,30,30,9
2025-06,CB_CO_12HR,1,0,0
2025-06,CHAD,32,0,0
2025-06,FIFTH_CALL,30,0,0
2025-06,MAIN_1ST_24HR,30,30,9
2025-06,MAIN_2ND_24HR,30,30,9
2025-06,MAIN_3RD_24HR,30,30,9
2025-06,MAIN_4TH_24HR,30,30,9
2025-06,PAC,172,0,0
2025-06,PAEDS_CALL,5,0,0
2025-06,RC_12HR,9,0,0
2025-06,RC_1ST_A_24HR,30,30,9
2025-06,RC_1ST_B_24HR,30,30,9
2025-06,RC_2ND_24HR,30,30,9
2025-06,RC_3RD_24HR,69,69,27
2025-06,RC_4TH_24HR,30,30,9
2025-06,SCHELL_24HR,30,30,9
2025-06,SHIFT,63,0,0
2025-07,CAESAR_A_12HR,31,0,0
2025-07,CAESAR_B_24HR,31,31,8
2025-07,CART,31,0,0
2025-07,CB_1ST_24HR,31,31,8
2025-07,CB_3RD_24HR,31,31,8
2025-07,CB_4TH_24HR,31,31,8
2025-07,CHAD,20,0,0
2025-07,FIFTH_CALL,31,0,0
2025-07,FLOATING_24HR,31,31,8
2025-07,MAIN_1ST_24HR,31,31,8
2025-07,MAIN_2ND_24HR,31,31,8
2025-07,MAIN_3RD_24HR,31,31,8
2025-07,MAIN_4TH_24HR,31,31,8
2025-07,PAC,187,0,0
2025-07,PAEDS_CALL,5,0,0
2025-07,RC_12HR,8,0,0
2025-07,RC_1ST_A_24HR,31,31,8
2025-07,RC_1ST_B_24HR,31,31,8
2025-07,RC_2ND_24HR,31,31,8
2025-07,RC_3RD_24HR,70,70,24
2025-07,RC_4TH_24HR,31,31,8
2025-07,SCHELL_24HR,31,31,8
2025-07,SHIFT,69,0,0
2025-08,CAESAR_A_12HR,31,0,0
2025-08,CAESAR_B_24HR,31,31,10
2025-08,CART,31,0,0
2025-08,CB_1ST_24HR,31,31,10
2025-08,CB_3RD_24HR,31,31,10
2025-08,CB_4TH_24HR,31,31,10
2025-08,CHAD,31,0,0
2025-08,FIFTH_CALL,31,0,0
2025-08,FLOATING_24HR,31,31,10
2025-08,MAIN_1ST_24HR,31,31,10
2025-08,MAIN_2ND_24HR,31,31,10
2025-08,MAIN_3RD_24HR,31,31,10
2025-08,MAIN_4TH_24HR,31,31,10
2025-08,PAC,169,0,0
2025-08,PAEDS_CALL,4,0,0
2025-08,RC_12HR,11,0,0
2025-08,RC_1ST_A_24HR,31,31,10
2025-08,RC_1ST_B_24HR,31,31,10
2025-08,RC_2ND_24HR,31,31,10
2025-08,RC_3RD_24HR,73,73,30
2025-08,RC_4TH_24HR,31,31,10
2025-08,SCHELL_24HR,31,31,10
2025-08,SHIFT,60,0,0
2025-09,CAESAR_A_12HR,30,0,0
2025-09,CAESAR_B_24HR,30,30,8
2025-09,CART,30,0,0
2025-09,CB_1ST_24HR,30,30,8
2025-09,CB_3RD_24HR,30,30,8
2025-09,CB_4TH_24HR,30,30,8
2025-09,CHAD,30,0,0
2025-09,FIFTH_CALL,30,0,0
2025-09,FLOATING_24HR,30,30,8
2025-09,MAIN_1ST_24HR,30,30,8
2025-09,MAIN_2ND_24HR,30,30,8
2025-09,MAIN_3RD_24HR,30,30,8
2025-09,MAIN_4TH_24HR,30,30,8
2025-09,PAC,151,0,0
2025-09,RC_12HR,8,0,0
2025-09,RC_1ST_A_24HR,30,30,8
2025-09,RC_1ST_B_24HR,30,30,8
2025-09,RC_2ND_24HR,30,30,8
2025-09,RC_3RD_24HR,60,60,16
2025-09,RC_4TH_24HR,30,30,8
2025-09,SCHELL_24HR,30,30,8
2025-09,SHIFT,66,0,0
2025-10,CAESAR_A_12HR,31,0,0
2025-10,CAESAR_B_24HR,31,31,8
2025-10,CART,31,0,0
2025-10,CB_1ST_24HR,31,31,8
2025-10,CB_3RD_24HR,31,31,8
2025-10,CB_4TH_24HR,31,31,8
2025-10,CHAD,31,0,0
2025-10,FIFTH_CALL,31,0,0
2025-10,FLOATING_24HR,31,31,8
2025-10,MAIN_1ST_24HR,31,31,8
2025-10,MAIN_2ND_24HR,31,31,8
2025-10,MAIN_3RD_24HR,31,31,8
2025-10,MAIN_4TH_24HR,31,31,8
2025-10,PAC,166,0,0
2025-10,PAEDS_CALL,4,0,0
2025-10,RC_12HR,8,0,0
2025-10,RC_1ST_A_24HR,31,31,8
2025-10,RC_1ST_B_24HR,31,31,8
2025-10,RC_2ND_24HR,31,31,8
2025-10,RC_3RD_24HR,62,62,16
2025-10,RC_4TH_24HR,31,31,8
2025-10,SCHELL_24HR,31,31,8
2025-10,SHIFT,69,0,0
2025-11,CAESAR_A_12HR,22,0,0
2025-11,CAESAR_B_24HR,30,30,10
2025-11,CART,30,0,0
2025-11,CB_1ST_24HR,30,30,10
2025-11,CB_3RD_24HR,30,30,10
2025-11,CB_4TH_24HR,30,30,10
2025-11,CB_CO3RD_24HR,2,2,2
2025-11,CHAD,30,0,0
2025-11,FIFTH_CALL,30,0,0
2025-11,FLOATING_24HR,30,30,10
2025-11,MAIN_1ST_24HR,30,30,10
