period,reference_key,dry_run_24hr,reference_24hr,delta_24hr,dry_run_weekend_24hr,reference_weekend_24hr,delta_weekend_24hr
2025-01,Jan_2025,433,404,29,124,116,8
2025-02,Feb_2025,456,453,3,136,133,3
2025-03,Mar_2025,504,504,0,168,168,0
2025-04,Apr_2025,458,458,0,128,128,0
2025-05,May_2025,474,474,0,144,144,0
2025-06,Jun_2025,459,459,0,144,144,0
2025-07,Jul_2025,504,504,0,136,136,0
2025-08,Aug_2025,507,507,0,170,170,0
2025-09,Sep_2025,480,480,0,128,128,0
2025-10,Oct_2025,496,496,0,128,128,0
2025-11,Nov_2025,486,484,2,164,162,2
2025-12,Dec_2025,477,477,0,124,124,0
2026-01,Jan_2026,432,431,1,112,111,1
2026-02,Feb_2026,440,440,0,120,120,0
2026-03,Mar_2026,496,496,0,135,135,0
2026-04,Apr_2026,443,441,2,113,112,1
2026-05,May_2026,465,465,0,150,150,0
