period,duty_type,assignments,twenty_four_hour,weekend_twenty_four_hour
2025-01,CAESAR_A_12HR,15,0,0
2025-01,CART,7,0,0
2025-01,CB_1ST_24HR,24,24,8
2025-01,CB_3RD_24HR,16,16,4
2025-01,CB_4TH_24HR,23,23,6
2025-01,CB_CO_12HR,8,0,0
2025-01,FIFTH_CALL,29,0,0
2025-01,MAIN_1ST_24HR,23,23,8
2025-01,MAIN_2ND_24HR,17,17,4
2025-01,MAIN_3RD_24HR,18,18,4
2025-01,MAIN_4TH_24HR,24,24,8
2025-01,PAC,133,0,0
2025-01,RC_12HR,5,0,0
2025-01,RC_1ST_A_24HR,50,50,12
2025-01,RC_2ND_24HR,18,18,5
2025-01,RC_3RD_24HR,33,33,13
2025-01,RC_4TH_24HR,19,19,6
2025-01,SCHELL_24HR,14,14,1
2025-01,SHIFT,44,0,0
2025-02,CAESAR_A_12HR,15,0,0
2025-02,CAESAR_B_24HR,18,18,5
2025-02,CART,16,0,0
2025-02,CB_1ST_24HR,44,44,10
2025-02,CB_3RD_24HR,16,16,4
2025-02,CB_4TH_24HR,20,20,6
2025-02,MAIN_1ST_24HR,24,24,8
2025-02,MAIN_1ST_CO_24HR,21,21,6
2025-02,MAIN_2ND_24HR,14,14,2
2025-02,MAIN_3RD_24HR,16,16,2
2025-02,MAIN_4TH_24HR,22,22,6
2025-02,PAC,107,0,0
2025-02,RC_12HR,6,0,0
2025-02,RC_1ST_A_24HR,67,67,18
2025-02,RC_2ND_24HR,17,17,5
2025-02,RC_3RD_24HR,33,33,11
2025-02,RC_4TH_24HR,17,17,4
2025-02,SCHELL_24HR,5,5,0
2025-02,SHIFT,33,0,0
2025-03,CAESAR_A_12HR,22,0,0
2025-03,CAESAR_B_24HR,22,22,8
2025-03,CART,15,0,0
2025-03,CB_1ST_24HR,54,54,19
2025-03,CB_3RD_24HR,18,18,7
2025-03,CB_4TH_24HR,24,24,8
2025-03,CB_CO4TH_24HR,5,5,3
2025-03,FIFTH_CALL,31,0,0
2025-03,MAIN_1ST_24HR,26,26,8
2025-03,MAIN_1ST_CO_24HR,25,25,8
2025-03,MAIN_2ND_24HR,19,19,6
2025-03,MAIN_3RD_24HR,23,23,5
2025-03,MAIN_4TH_24HR,25,25,8
2025-03,PAC,124,0,0
2025-03,PAEDS_CALL,3,0,0
2025-03,RC_12HR,9,0,0
2025-03,RC_1ST_A_24HR,81,81,27
2025-03,RC_2ND_24HR,24,24,6
2025-03,RC_3RD_24HR,52,52,21
2025-03,RC_4TH_24HR,21,21,6
2025-03,RC_CO4TH_24HR,8,8,2
2025-03,SCHELL_24HR,23,23,8
2025-03,SHIFT,34,0,0
2025-04,CAESAR_A_12HR,18,0,0
2025-04,CAESAR_B_24HR,18,18,5
2025-04,CART,13,0,0
2025-04,CB_1ST_24HR,20,20,7
2025-04,CB_3RD_24HR,22,22,6
2025-04,CB_4TH_24HR,20,20,6
2025-04,CB_CO4TH_24HR,6,6,1
2025-04,CHAD,24,0,0
2025-04,FIFTH_CALL,28,0,0
2025-04,MAIN_1ST_24HR,23,23,7
2025-04,MAIN_2ND_24HR,16,16,5
2025-04,MAIN_3RD_24HR,24,24,6
2025-04,MAIN_4TH_24HR,21,21,5
2025-04,PAC,126,0,0
2025-04,RC_12HR,7,0,0
2025-04,RC_1ST_A_24HR,45,45,11
2025-04,RC_2ND_24HR,16,16,3
2025-04,RC_3RD_24HR,49,49,18
2025-04,RC_4TH_24HR,22,22,7
2025-04,RC_CO4TH_24HR,5,5,1
2025-04,SCHELL_24HR,27,27,8
2025-04,SHIFT,45,0,0
2025-05,CAESAR_A_12HR,25,0,0
2025-05,CAESAR_B_24HR,25,25,8
2025-05,CART,30,0,0
2025-05,CB_1ST_24HR,22,22,7
2025-05,CB_3RD_24HR,21,21,5
2025-05,CB_4TH_24HR,21,21,5
2025-05,CB_CO4TH_24HR,5,5,0
2025-05,CHAD,24,0,0
2025-05,FIFTH_CALL,31,0,0
2025-05,MAIN_1ST_24HR,21,21,5
2025-05,MAIN_2ND_24HR,25,25,7
2025-05,MAIN_3RD_24HR,27,27,8
2025-05,MAIN_4TH_24HR,26,26,6
2025-05,PAC,140,0,0
2025-05,PAEDS_CALL,3,0,0
2025-05,RC_1ST_A_24HR,52,52,21
2025-05,RC_2ND_24HR,23,23,7
2025-05,RC_3RD_24HR,50,50,20
2025-05,RC_4TH_24HR,25,25,7
2025-05,SCHELL_24HR,25,25,5
2025-05,SHIFT,44,0,0
2025-06,CAESAR_A_12HR,24,0,0
2025-06,CAESAR_B_24HR,26,26,9
2025-06,CART,23,0,0
2025-06,CB_1ST_24HR,26,26,9
2025-06,CB_3RD_24HR,14,14,5
2025-06,CB_4TH_24HR,24,24,8
2025-06,CHAD,21,0,0
2025-06,FIFTH_CALL,30,0,0
2025-06,MAIN_1ST_24HR,26,26,6
2025-06,MAIN_2ND_24HR,25,25,6
2025-06,MAIN_3RD_24HR,27,27,7
2025-06,MAIN_4TH_24HR,27,27,8
2025-06,PAC,131,0,0
2025-06,PAEDS_CALL,3,0,0
2025-06,RC_1ST_A_24HR,29,29,14
2025-06,RC_1ST_B_24HR,25,25,7
2025-06,RC_2ND_24HR,22,22,7
2025-06,RC_3RD_24HR,49,49,21
2025-06,RC_4TH_24HR,22,22,6
2025-06,SCHELL_24HR,27,27,8
2025-06,SHIFT,47,0,0
2025-07,CAESAR_A_12HR,22,0,0
2025-07,CAESAR_B_24HR,23,23,8
2025-07,CART,14,0,0
2025-07,CB_1ST_24HR,27,27,6
2025-07,CB_3RD_24HR,21,21,6
2025-07,CB_4TH_24HR,24,24,7
2025-07,CHAD,16,0,0
2025-07,FIFTH_CALL,30,0,0
2025-07,FLOATING_24HR,24,24,7
2025-07,MAIN_1ST_24HR,27,27,7
2025-07,MAIN_2ND_24HR,25,25,5
2025-07,MAIN_3RD_24HR,27,27,6
2025-07,MAIN_4TH_24HR,25,25,5
2025-07,PAC,140,0,0
2025-07,PAEDS_CALL,3,0,0
2025-07,RC_12HR,7,0,0
2025-07,RC_1ST_A_24HR,56,56,15
2025-07,RC_2ND_24HR,25,25,8
2025-07,RC_3RD_24HR,54,54,18
2025-07,RC_4TH_24HR,23,23,7
2025-07,SCHELL_24HR,25,25,8
2025-07,SHIFT,47,0,0
