period,reference_key,dry_run_24hr,reference_24hr,delta_24hr,dry_run_weekend_24hr,reference_weekend_24hr,delta_weekend_24hr
2025-01,Jan_2025,279,404,-125,79,116,-37
2025-02,Feb_2025,334,453,-119,87,133,-46
2025-03,Mar_2025,450,504,-54,150,168,-18
2025-04,Apr_2025,334,458,-124,96,128,-32
2025-05,May_2025,368,474,-106,111,144,-33
2025-06,Jun_2025,369,459,-90,121,144,-23
2025-07,Jul_2025,406,504,-98,113,136,-23
2025-08,Aug_2025,369,507,-138,118,170,-52
2025-09,Sep_2025,390,480,-90,100,128,-28
2025-10,Oct_2025,420,496,-76,110,128,-18
2025-11,Nov_2025,410,484,-74,138,162,-24
2025-12,Dec_2025,422,477,-55,108,124,-16
2026-01,Jan_2026,362,431,-69,91,111,-20
2026-02,Feb_2026,382,440,-58,104,120,-16
2026-03,Mar_2026,441,496,-55,116,135,-19
2026-04,Apr_2026,386,441,-55,95,112,-17
2026-05,May_2026,412,465,-53,134,150,-16
