period,reference_key,dry_run_24hr,reference_24hr,delta_24hr,dry_run_weekend_24hr,reference_weekend_24hr,delta_weekend_24hr
2025-01,Jan_2025,430,404,26,124,116,8
2025-02,Feb_2025,451,453,-2,131,133,-2
2025-03,Mar_2025,502,504,-2,166,168,-2
2025-04,Apr_2025,454,458,-4,127,128,-1
2025-05,May_2025,467,474,-7,140,144,-4
2025-06,Jun_2025,456,459,-3,143,144,-1
2025-07,Jul_2025,503,504,-1,135,136,-1
2025-08,Aug_2025,506,507,-1,169,170,-1
2025-09,Sep_2025,475,480,-5,125,128,-3
2025-10,Oct_2025,493,496,-3,127,128,-1
2025-11,Nov_2025,482,484,-2,161,162,-1
2025-12,Dec_2025,477,477,0,124,124,0
2026-01,Jan_2026,430,431,-1,111,111,0
2026-02,Feb_2026,439,440,-1,120,120,0
2026-03,Mar_2026,493,496,-3,134,135,-1
2026-04,Apr_2026,437,441,-4,110,112,-2
2026-05,May_2026,461,465,-4,147,150,-3
